Time [s],Value,Parity Error,Framing Error
39.590077583333333,$ (0x24),,
39.590197666666668,'224' (0xE0),,
39.590317666666664,'231' (0xE7),,
39.590437750000000,'4' (0x04),,
39.590557750000002,'8' (0x08),,
39.590677833333331,j (0x6A),,
39.590797833333333,'0' (0x00),,
39.590917916666669,'2' (0x02),,
39.591037916666664,'16' (0x10),,
39.591158000000000,'128' (0x80),,
39.591278000000003,'0' (0x00),,
39.591398083333331,'4' (0x04),,
39.591518083333334,' ' (0x20),,
39.591638083333336,'0' (0x00),,
39.591758166666665,'1' (0x01),,
39.591878166666667,'8' (0x08),,
39.591998250000003,@ (0x40),,
39.592118249999999,'0' (0x00),,
39.592238333333334,'2' (0x02),,
39.592358333333337,'16' (0x10),,
39.592478416666665,'128' (0x80),,
39.592598416666668,'0' (0x00),,
39.592718499999997,'4' (0x04),,
39.594869250000002,'3' (0x03),,
39.594989249999998,'192' (0xC0),,
39.595109333333333,+ (0x2B),,
39.604832666666667,'15' (0x0F),,
39.604952666666669,'2' (0x02),,
39.605072749999998,$ (0x24),,
39.605192750000001,'224' (0xE0),,
39.605312833333336,'231' (0xE7),,
39.605432833333332,'4' (0x04),,
39.605552916666667,'8' (0x08),,
39.605672916666670,j (0x6A),,
39.605792999999998,'0' (0x00),,
39.605913000000001,'2' (0x02),,
39.606033083333337,'16' (0x10),,
39.606153083333332,'128' (0x80),,
39.606273166666668,'0' (0x00),,
39.606393166666663,'4' (0x04),,
39.606513249999999,' ' (0x20),,
39.606633250000002,'0' (0x00),,
39.606753333333330,'1' (0x01),,
39.606873333333333,'8' (0x08),,
39.606993416666668,@ (0x40),,
39.607113416666664,'0' (0x00),,
39.607233500000000,'2' (0x02),,
39.607353500000002,'16' (0x10),,
39.607473583333331,'128' (0x80),,
39.607593583333333,'0' (0x00),,
39.607713666666669,'20' (0x14),,
39.619847833333331,'15' (0x0F),,
39.619967833333334,'2' (0x02),,
39.620087916666670,$ (0x24),,
39.620207916666665,'224' (0xE0),,
39.620328000000001,'231' (0xE7),,
39.620448000000003,'4' (0x04),,
39.620568083333332,'8' (0x08),,
39.620688083333334,j (0x6A),,
39.620808166666670,'0' (0x00),,
39.620928166666666,'2' (0x02),,
39.621048250000001,'16' (0x10),,
39.621168249999997,'128' (0x80),,
39.621288333333332,'0' (0x00),,
39.621408333333335,'4' (0x04),,
39.621528416666663,' ' (0x20),,
39.621648416666666,'0' (0x00),,
39.621768500000002,'1' (0x01),,
39.621888499999997,'8' (0x08),,
39.622008583333333,@ (0x40),,
39.622128583333335,'0' (0x00),,
39.622248666666664,'2' (0x02),,
39.622368666666667,'16' (0x10),,
39.622488750000002,'128' (0x80),,
39.622608749999998,'0' (0x00),,
39.622728833333333,$ (0x24),,
39.634853000000000,'15' (0x0F),,
39.634973000000002,'2' (0x02),,
39.635093083333331,$ (0x24),,
39.635213083333333,'224' (0xE0),,
39.635333166666669,'231' (0xE7),,
39.635453166666665,'4' (0x04),,
39.635573250000000,'8' (0x08),,
39.635693250000003,j (0x6A),,
39.635813333333331,'0' (0x00),,
39.635933333333334,'2' (0x02),,
39.636053416666670,'16' (0x10),,
39.636173416666665,'128' (0x80),,
39.636293500000001,'0' (0x00),,
39.636413500000003,'4' (0x04),,
39.636533583333332,' ' (0x20),,
39.636653583333334,'0' (0x00),,
39.636773666666670,'1' (0x01),,
39.636893666666666,'8' (0x08),,
39.637013750000001,@ (0x40),,
39.637133749999997,'0' (0x00),,
39.637253833333332,'2' (0x02),,
39.637373833333335,'16' (0x10),,
39.637493916666664,'128' (0x80),,
39.637613916666666,'0' (0x00),,
39.637734000000002,4 (0x34),,
39.649848166666665,'15' (0x0F),,
39.649968166666667,'2' (0x02),,
39.650088250000003,$ (0x24),,
39.650208249999999,'224' (0xE0),,
39.650328333333334,'231' (0xE7),,
39.650448333333337,'4' (0x04),,
39.650568416666665,'8' (0x08),,
39.650688416666668,j (0x6A),,
39.650808499999997,'0' (0x00),,
39.650928499999999,'2' (0x02),,
39.651048583333335,'16' (0x10),,
39.651168583333330,'128' (0x80),,
39.651288666666666,'0' (0x00),,
39.651408666666669,'4' (0x04),,
39.651528749999997,' ' (0x20),,
39.651648750000000,'0' (0x00),,
39.651768833333335,'1' (0x01),,
39.651888833333331,'8' (0x08),,
39.652008916666666,@ (0x40),,
39.652128916666669,'0' (0x00),,
